run_id,file_name,source,local_path,minio_key,preset,status,started_at,upload_seconds,caption_seconds,total_seconds,total_tokens,model,full_caption
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T000000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T000000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.567897+00:00,,0.955,0.955,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T010000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T010000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.569744+00:00,,1.178,1.178,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T004500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T004500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.568496+00:00,,1.468,1.468,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T003000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T003000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.568338+00:00,,1.66,1.66,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T011500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T011500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.570422+00:00,,1.708,1.708,0,nvidia/cosmos-reason2-8b,"No, there is no dumping present. The image does not show waste deposited on a vacant lot, alley, gutter, or private property outside an authorized container. There is no evidence that litter or solid waste has been deposited in violation of a municipal dumping ordinance. The image does not show an improper dumpsite on private or vacant property."
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T013000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T013000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.571810+00:00,,1.896,1.896,0,nvidia/cosmos-reason2-8b,"dumping present: No
ordinance check 1: No
ordinance check 2: No
ordinance check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T023000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T023000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573360+00:00,,0.765,0.765,0,nvidia/cosmos-reason2-8b,"<0.0> DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T014500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T014500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.572518+00:00,,2.341,2.341,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T020000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T020000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573347+00:00,,1.453,1.453,0,nvidia/cosmos-reason2-8b,"dumping present: No
ordinance check 1: No
ordinance check 2: No
ordinance check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T001500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T001500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.568012+00:00,,2.519,2.519,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T030000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T030000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573369+00:00,,0.929,0.929,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T021500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T021500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573355+00:00,,1.826,1.826,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T024500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T024500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573364+00:00,,1.451,1.451,0,nvidia/cosmos-reason2-8b,"<0.0> DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T041500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T041500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573389+00:00,,0.989,0.989,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T034500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T034500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573381+00:00,,1.438,1.438,0,nvidia/cosmos-reason2-8b,"<0.0> DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T033000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T033000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573377+00:00,,1.704,1.704,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T044500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T044500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573397+00:00,,1.328,1.328,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T040000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T040000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573385+00:00,,2.351,2.351,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T050000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T050000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573400+00:00,,1.81,1.81,0,nvidia/cosmos-reason2-8b," Timestamp: <0.0> DUMPING PRESENT: Yes
ORDINANCE CHECK 1: Yes
ORDINANCE CHECK 2: Yes
ORDINANCE CHECK 3: Yes"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T060000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T060000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573415+00:00,,0.827,0.827,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T054500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T054500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573412+00:00,,1.426,1.426,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T053000.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T053000.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573408+00:00,,1.889,1.889,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T061500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T061500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573422+00:00,,1.01,1.01,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-08,DT_10th_and_2nd_St_4_20260608T051500.jpg,minio,,vlm_runs/2026-06-08/DT_10th_and_2nd_St_4/DT_10th_and_2nd_St_4_20260608T051500.jpg,illegal_dumping_detect,done,2026-06-09T13:53:10.573404+00:00,,2.462,2.462,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
