date,camera,filename,minio_key,preset,status,started_at,caption_seconds,total_tokens,model,alert_category,full_caption
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T000000.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T000000.jpg,crowd_behavior,done,2026-06-08T21:15:10.252201+00:00,0.515,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"1. Not visible
2. Not visible
3. Not visible
4. Not visible
5. Not visible
6. Not visible
7. Not visible
8. Not visible
9. Not visible
10. Not visible
11. Not visible
12. Not visible
13. Not visible
4. Not visible"
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T001500.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T001500.jpg,crowd_behavior,done,2026-06-08T21:15:10.823330+00:00,0.87,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. No pedestrians are visible, so counts and flow direction cannot be determined.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. LOW - No visible risks or hazards.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. Not applicable as there are no pedestrians present.
9. Not applicable as there are no pedestrians present.
10. Not applicable as there are no pedestrians present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no pedestrians present.
12. Not applicable as there are no pedestrians present.
13. Not applicable as there are no pedestrians present.
14. Not applicable as there are no pedestrians present."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T003000.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T003000.jpg,crowd_behavior,done,2026-06-08T21:15:11.746703+00:00,1.009,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so density cannot be estimated.
2. Not applicable as there are no people present to classify zones.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no people present.

[RISK ASSESSMENT]
5. Not applicable as there are no people present.
6. Low risk due to absence of people and potential hazards.
7. Not applicable as there are no people present.

[THREAT & SAFETY]
8. No threats are present as there are no people.
9. No weapons or dangerous objects are visible.
10. No threats requiring immediate response are present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no people present.
12. Not applicable as there are no people present.
13. Not applicable as there are no people present.
14. Not applicable as there are no people present."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T004500.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T004500.jpg,crowd_behavior,done,2026-06-08T21:15:12.799919+00:00,0.963,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians or objects are visible, so density cannot be estimated.
2. Not applicable as there are no visible people or objects to classify.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible; no flow can be identified.
4. Not applicable as no individuals are present.

[RISK ASSESSMENT]
5. Not applicable as no objects or individuals are visible.
6. LOW - No visible activity or objects suggest minimal risk.
7. Not applicable as no crowd behavior is observable.

[THREAT & SAFETY]
8. No visible threats to public safety.
9. No weapons or dangerous objects are visible.
10. No threats requiring immediate response are present.

[CRITICAL INCIDENTS]
11. No physical altercation is visible.
12. No medical emergency is apparent.
13. No person is fallen or incapacitated.
14. No substance use or mental health crisis is evident."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T010000.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T010000.jpg,crowd_behavior,done,2026-06-08T21:15:13.817770+00:00,0.861,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. No pedestrians are visible, so counts or flow direction cannot be determined.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. Low risk due to absence of people and potential hazards.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. No threats are visible.
9. No weapons or dangerous objects are visible.
10. Not applicable as there are no pedestrians present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no pedestrians present.
12. Not applicable as there are no pedestrians present.
13. Not applicable as there are no pedestrians present.
14. Not applicable as there are no pedestrians present."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T011500.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T011500.jpg,crowd_behavior,done,2026-06-08T21:15:14.734216+00:00,0.895,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. LOW - No pedestrians are present, and no potential hazards are visible.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. Not applicable as there are no pedestrians present.
9. Not applicable as there are no pedestrians present.
10. Not applicable as there are no pedestrians present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no pedestrians present.
12. Not applicable as there are no pedestrians present.
13. Not applicable as there are no pedestrians present.
14. Not applicable as there are no pedestrians present."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T013000.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T013000.jpg,crowd_behavior,done,2026-06-08T21:15:15.686997+00:00,0.87,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. No pedestrians are visible, so counts and flow direction cannot be determined.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. LOW - No visible risks or hazards.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. Not applicable as there are no pedestrians present.
9. Not applicable as there are no pedestrians present.
10. Not applicable as there are no pedestrians present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no pedestrians present.
12. Not applicable as there are no pedestrians present.
13. Not applicable as there are no pedestrians present.
14. Not applicable as there are no pedestrians present."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T014500.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T014500.jpg,crowd_behavior,done,2026-06-08T21:15:16.611743+00:00,0.982,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no people present to classify zones.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible, so flow direction cannot be determined.
4. Not applicable as there are no individuals present to assess.

[RISK ASSESSMENT]
5. Not applicable as there are no individuals or objects present to assess.
6. Low risk due to absence of people and potential hazards.
7. Not applicable as there are no people present to assess behaviors.

[THREAT & SAFETY]
8. No threats are present as there are no people or objects to assess.
9. No weapons or dangerous objects are visible.
10. No threats requiring immediate patrol response are present.

[CRITICAL INCIDENTS]
11. No physical altercation is visible as there are no people present.
12. No medical emergency is visible as there are no people present.
13. No person is fallen or incapacitated as there are no people present.
14. No substance use, overdose, or mental health crisis is visible as there are no people present."
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T020000.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T020000.jpg,crowd_behavior,done,2026-06-08T21:15:17.649445+00:00,0.498,0,nvidia/cosmos-reason2-8b,Crowd Behavior,0.0 1. Not visible 2. Not visible 3. Not visible 4. Not visible 5. Not visible 6. Not visible 7. Not visible 8. Not visible 9. Not visible 10. Not visible 11. Not visible 12. Not visible 13. Not visible 14. Not visible
vlm_runs/2026-06-05,AP_Gate_7_Camera_3,AP_Gate_7_Camera_3_20260605T021500.jpg,vlm_runs/2026-06-05/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260605T021500.jpg,crowd_behavior,done,2026-06-08T21:15:18.200285+00:00,0.882,0,nvidia/cosmos-reason2-8b,Crowd Behavior,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. No pedestrians are visible, so counts and flow direction cannot be determined.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. Low risk due to absence of people and potential hazards.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. No threats are visible.
9. No weapons or dangerous objects are visible.
10. Not applicable as there are no pedestrians present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no pedestrians present.
12. Not applicable as there are no pedestrians present.
13. Not applicable as there are no pedestrians present.
14. Not applicable as there are no pedestrians present."
