run_id,file_name,source,local_path,minio_key,preset,status,started_at,upload_seconds,caption_seconds,total_seconds,total_tokens,model,full_caption
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T001500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T001500.jpg,illegal_dumping_detect,done,2026-06-08T21:41:58.399824+00:00,,0.351,0.351,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T001500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T001500.jpg,illegal_dumping_classify,done,2026-06-08T21:42:38.462977+00:00,,0.462,0.462,0,nvidia/cosmos-reason2-8b,<0.0> WASTE TYPE: 8; WASTE VOLUME: small (pickup); WASTE ORIGIN: residential; PROPERTY TYPE: right-of-way; GUTTER/ALLEY: Yes; WATER PROXIMITY: No
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T001500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T001500.jpg,illegal_dumping_evidence,done,2026-06-08T21:43:24.972506+00:00,,0.246,0.246,0,nvidia/cosmos-reason2-8b,No
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T001500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T001500.jpg,illegal_dumping_report,done,2026-06-08T21:43:54.025334+00:00,,0.366,0.366,0,nvidia/cosmos-reason2-8b,"ENFORCEMENT REPORT: (1) yes, (2) unclear, (3) unclear, (4) Sec. 46-45, (5) unclear, (6) LOW"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T003000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T003000.jpg,illegal_dumping_detect,done,2026-06-08T21:41:58.805294+00:00,,0.352,0.352,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T003000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T003000.jpg,illegal_dumping_classify,done,2026-06-08T21:42:38.976437+00:00,,0.459,0.459,0,nvidia/cosmos-reason2-8b,<0.0> WASTE TYPE: 8; WASTE VOLUME: small (pickup); WASTE ORIGIN: residential; PROPERTY TYPE: right-of-way; GUTTER/ALLEY: Yes; WATER PROXIMITY: No
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T003000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T003000.jpg,illegal_dumping_evidence,done,2026-06-08T21:43:25.276846+00:00,,0.257,0.257,0,nvidia/cosmos-reason2-8b,No
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T003000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T003000.jpg,illegal_dumping_report,done,2026-06-08T21:43:54.434734+00:00,,0.365,0.365,0,nvidia/cosmos-reason2-8b,"ENFORCEMENT REPORT: (1) yes, (2) unclear, (3) unclear, (4) Sec. 46-45, (5) unclear, (6) LOW"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T004500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T004500.jpg,illegal_dumping_detect,done,2026-06-08T21:41:59.214515+00:00,,0.329,0.329,0,nvidia/cosmos-reason2-8b,"Dumping Present: No
 Ordinance Check 1: No
 Ordinance Check 2: No
 Ordinance Check 3: No"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T004500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T004500.jpg,illegal_dumping_classify,done,2026-06-08T21:42:39.481758+00:00,,0.449,0.449,0,nvidia/cosmos-reason2-8b," timestamps: 0.0
WASTE TYPE: 8
WASTE VOLUME: small (pickup)
WASTE ORIGIN: residential
PROPERTY TYPE: right-of-way
GUTTER/ALLEY: Yes
WATER PROXIMITY: No"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T004500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T004500.jpg,illegal_dumping_evidence,done,2026-06-08T21:43:25.589179+00:00,,0.378,0.378,0,nvidia/cosmos-reason2-8b,"No vehicles or identifiers are visible in the image. The scene appears to be a close-up of a textured surface with no discernible objects, vehicles, or markings that could indicate illegal dumping activity."
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T004500.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T004500.jpg,illegal_dumping_report,done,2026-06-08T21:43:54.846697+00:00,,0.414,0.414,0,nvidia/cosmos-reason2-8b,"ENFORCEMENT REPORT: (1) yes, (2) unclear due to image quality, (3) unclear due to image quality, (4) Sec. 46-45, (5) unclear due to image quality, (6) LOW"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T010000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T010000.jpg,illegal_dumping_detect,done,2026-06-08T21:41:59.596795+00:00,,0.348,0.348,0,nvidia/cosmos-reason2-8b,"DUMPING PRESENT: No
ORDINANCE CHECK 1: No
ORDINANCE CHECK 2: No
ORDINANCE CHECK 3: No"
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T010000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T010000.jpg,illegal_dumping_classify,done,2026-06-08T21:42:39.981392+00:00,,0.467,0.467,0,nvidia/cosmos-reason2-8b,<0.0> WASTE TYPE: (8) mixed; WASTE VOLUME: small (pickup); WASTE ORIGIN: residential; PROPERTY TYPE: right-of-way; GUTTER/ALLEY: Yes; WATER PROXIMITY: No
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T010000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T010000.jpg,illegal_dumping_evidence,done,2026-06-08T21:43:26.023427+00:00,,0.239,0.239,0,nvidia/cosmos-reason2-8b,No
vlm_runs/2026-06-05,DT_10th_and_2nd_St_1_20260605T010000.jpg,minio,,vlm_runs/2026-06-05/DT_10th_and_2nd_St_1/DT_10th_and_2nd_St_1_20260605T010000.jpg,illegal_dumping_report,done,2026-06-08T21:43:55.314563+00:00,,0.385,0.385,0,nvidia/cosmos-reason2-8b,"ENFORCEMENT REPORT: (1) yes, (2) unclear, (3) unclear, (4) Sec. 46-45, (5) unclear, (6) LOW"
