run_id,file_name,source,local_path,minio_key,preset,status,started_at,upload_seconds,caption_seconds,total_seconds,total_tokens,model,full_caption
20260602T140833Z,AP_Gate_7_Camera_3_20260531T000000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T000000.jpg,vehicle_prompts,done,2026-06-02T14:09:26.288682+00:00,0.168,0.921,1.11,,nvidia/cosmos-reason2-8b,"[date]

[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T001000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T001000.jpg,vehicle_prompts,done,2026-06-02T14:09:26.289445+00:00,0.168,1.155,1.343,,nvidia/cosmos-reason2-8b,"### [GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

### [COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

### [PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

### [SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

### [VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

### [PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T002000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T002000.jpg,vehicle_prompts,done,2026-06-02T14:09:26.289784+00:00,0.168,1.218,1.406,,nvidia/cosmos-reason2-8b,"[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T003000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T003000.jpg,vehicle_prompts,done,2026-06-02T14:09:26.291816+00:00,0.166,1.065,1.249,,nvidia/cosmos-reason2-8b,"[date]

[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible
"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T004000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T004000.jpg,vehicle_prompts,done,2026-06-02T14:09:27.401016+00:00,0.046,0.648,0.697,,nvidia/cosmos-reason2-8b,"[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T005000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T005000.jpg,vehicle_prompts,done,2026-06-02T14:09:27.543938+00:00,0.042,0.718,0.762,,nvidia/cosmos-reason2-8b,"[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T010000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T010000.jpg,vehicle_prompts,done,2026-06-02T14:09:27.634959+00:00,0.04,0.991,1.033,,nvidia/cosmos-reason2-8b,"[date]

[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T011000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T011000.jpg,vehicle_prompts,done,2026-06-02T14:09:27.698342+00:00,0.046,0.76,0.808,,nvidia/cosmos-reason2-8b,"### [GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

### [COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

### [PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

### [SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

### [VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

### [PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T012000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T012000.jpg,vehicle_prompts,done,2026-06-02T14:09:28.100664+00:00,0.04,0.717,0.759,,nvidia/cosmos-reason2-8b,"### [GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

### [COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

### [PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

### [SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

### [VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

### [PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T013000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T013000.jpg,vehicle_prompts,done,2026-06-02T14:09:28.308263+00:00,0.041,0.716,0.759,,nvidia/cosmos-reason2-8b,"[date]

[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T014000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T014000.jpg,vehicle_prompts,done,2026-06-02T14:09:28.508438+00:00,0.041,0.728,0.771,,nvidia/cosmos-reason2-8b,"### [GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

### [COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

### [PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

### [SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

### [VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

### [PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T015000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T015000.jpg,vehicle_prompts,done,2026-06-02T14:09:28.671617+00:00,0.042,0.727,0.771,,nvidia/cosmos-reason2-8b,"[date]

[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
20260602T140833Z,AP_Gate_7_Camera_3_20260531T020000.jpg,,,dataset_20260531/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260531T020000.jpg,vehicle_prompts,done,2026-06-02T14:09:28.862593+00:00,0.045,0.729,0.776,,nvidia/cosmos-reason2-8b,"[date]

[GENERAL VEHICLE SAFETY]
1. Not visible
2. Not visible

[COLLISIONS & NEAR MISSES]
3. Not visible
4. Not visible

[PARKING & ACCESS VIOLATIONS]
5. Not visible
6. Not visible
7. Not visible

[SUSPICIOUS VEHICLE BEHAVIOR]
8. Not visible
9. Not visible
10. Not visible

[VEHICLE IDENTIFICATION]
11. Not visible
12. Not visible
13. Not visible

[PEDESTRIAN & CHILD SAFETY]
14. Not visible
15. Not visible
16. Not visible
17. Not visible"
