run_id,file_name,source,local_path,minio_key,preset,status,started_at,upload_seconds,caption_seconds,total_seconds,total_tokens,model,full_caption
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T003000.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T003000.jpg,crowd_behavior,done,2026-06-09T04:02:51.050920+00:00,,3.56,3.56,0,nvidia/cosmos-reason2-8b,"0.0 [Crowd Density & Zones]
1. No people are visible, so density cannot be estimated.
2. Not applicable.

[Pedestrian Activity]
3. No pedestrians are visible.
4. Not applicable.

[Risk Assessment]
5. Not applicable.
6. LOW - No visible risks or hazards.
7. Not applicable.

[Threat & Safety]
8. Not applicable.
9. Not applicable.
10. Not applicable.

[Critical Incidents]
11. Not applicable.
12. Not applicable.
13. Not applicable.
14. Not applicable."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T004500.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T004500.jpg,crowd_behavior,done,2026-06-09T04:02:51.052321+00:00,,3.79,3.79,0,nvidia/cosmos-reason2-8b,"0.0 [CROWD DENSITY & ZONES]
1. No people are visible, so density cannot be estimated.
2. Not applicable as there are no people to classify.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no people to assess.

[RISK ASSESSMENT]
5. Not applicable as there are no people to assess.
6. LOW - No people are visible, so no risk factors can be identified.
7. Not applicable as there are no people to assess.

[THREAT & SAFETY]
8. Not applicable as there are no people to assess.
9. Not applicable as there are no people to assess.
10. Not applicable as there are no people to assess.

[CRITICAL INCIDENTS]
11. Not applicable as there are no people to assess.
12. Not applicable as there are no people to assess.
13. Not applicable as there are no people to assess.
14. Not applicable as there are no people to assess."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T014500.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T014500.jpg,crowd_behavior,done,2026-06-09T04:02:51.056324+00:00,,3.865,3.865,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians or objects are visible, so crowd density cannot be estimated.
2. Not applicable as there are no visible zones to classify.

[PEDESTRIAN ACTIVITY]
3. No pedestrians are visible, so counting or identifying flow direction is not possible.
4. Not applicable as no individuals are present.

[RISK ASSESSMENT]
5. Not applicable as no objects or individuals are visible.
6. Low risk due to absence of people and activity.
7. Not applicable as no unsafe behaviors can be observed.

[THREAT & SAFETY]
8. No threats are present as no individuals or objects are visible.
9. No weapons or dangerous objects are visible.
10. Not applicable as no threats are present.

[CRITICAL INCIDENTS]
11. Not applicable as no physical altercation can be observed.
12. Not applicable as no medical emergency is present.
13. Not applicable as no person is visible.
14. Not applicable as no substance use or mental health crisis can be observed."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T001500.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T001500.jpg,crowd_behavior,done,2026-06-09T04:02:51.050004+00:00,,3.948,3.948,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible in the image.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. Low risk due to absence of people.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. No threat is visible.
9. No weapons or dangerous objects are visible.
10. No threats requiring immediate patrol response.

[CRITICAL INCIDENTS]
11. Not applicable as there are no pedestrians present.
12. Not applicable as there are no pedestrians present.
13. Not applicable as there are no pedestrians present.
14. Not applicable as there are no pedestrians present."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T000000.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T000000.jpg,crowd_behavior,done,2026-06-09T04:02:51.049604+00:00,,3.997,3.997,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so density cannot be estimated.
2. Not applicable as there are no people present to classify zones.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no people present.

[RISK ASSESSMENT]
5. Not applicable as there are no people present.
6. Low risk due to absence of people and activity.
7. Not applicable as there are no people present.

[THREAT & SAFETY]
8. No threats are present.
9. No weapons or dangerous objects are visible.
10. No threats requiring immediate response are present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no people present.
12. Not applicable as there are no people present.
13. Not applicable as there are no people present.
14. Not applicable as there are no people present."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T010000.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T010000.jpg,crowd_behavior,done,2026-06-09T04:02:51.053759+00:00,,4.052,4.052,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians or objects are visible, making density estimation impossible.
2. Not applicable due to lack of visible subjects.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are present; no flow can be observed.
4. Not applicable due to lack of visible subjects.

[RISK ASSESSMENT]
5. Not applicable due to lack of visible subjects.
6. LOW - No visible activity or objects suggest risk.
7. Not applicable due to lack of visible subjects.

[THREAT & SAFETY]
8. Not applicable due to lack of visible subjects.
9. Not applicable due to lack of visible subjects.
10. Not applicable due to lack of visible subjects.

[CRITICAL INCIDENTS]
11. Not applicable due to lack of visible subjects.
12. Not applicable due to lack of visible subjects.
13. Not applicable due to lack of visible subjects.
14. Not applicable due to lack of visible subjects."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T011500.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T011500.jpg,crowd_behavior,done,2026-06-09T04:02:51.055234+00:00,,4.15,4.15,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. Low risk due to absence of people.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. No.
9. No.
10. No.

[CRITICAL INCIDENTS]
11. No.
12. No.
13. No.
14. No."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T013000.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T013000.jpg,crowd_behavior,done,2026-06-09T04:02:51.056037+00:00,,4.301,4.301,0,nvidia/cosmos-reason2-8b,"0.0
[CROWD DENSITY & ZONES]
1. No pedestrians or objects are visible, making density estimation impossible.
2. Not applicable due to lack of visible subjects.

[PEDESTRIAN ACTIVITY]
3. No pedestrians are visible; therefore, flow direction cannot be determined.
4. Not applicable due to lack of visible subjects.

[RISK ASSESSMENT]
5. Not applicable due to lack of visible subjects.
6. LOW - No visible risks or hazards.
7. Not applicable due to lack of visible subjects.

[THREAT & SAFETY]
8. Not applicable due to lack of visible subjects.
9. Not applicable due to lack of visible subjects.
10. Not applicable due to lack of visible subjects.

[CRITICAL INCIDENTS]
11. Not applicable due to lack of visible subjects.
12. Not applicable due to lack of visible subjects.
13. Not applicable due to lack of visible subjects.
14. Not applicable due to lack of visible subjects."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T020000.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T020000.jpg,crowd_behavior,done,2026-06-09T04:02:51.058253+00:00,,0.939,0.939,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no people present to classify zones.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no people present.

[RISK ASSESSMENT]
5. Not applicable as there are no people present.
6. Low risk due to absence of people and potential hazards.
7. Not applicable as there are no people present.

[THREAT & SAFETY]
8. No threats are visible.
9. No weapons or dangerous objects are visible.
10. Not applicable as there are no people present.

[CRITICAL INCIDENTS]
11. Not applicable as there are no people present.
12. Not applicable as there are no people present.
13. Not applicable as there are no people present.
14. Not applicable as there are no people present."
vlm_runs/2026-06-07,AP_Gate_7_Camera_3_20260607T021500.jpg,minio,,vlm_runs/2026-06-07/AP_Gate_7_Camera_3/AP_Gate_7_Camera_3_20260607T021500.jpg,crowd_behavior,done,2026-06-09T04:02:51.058265+00:00,,0.845,0.845,0,nvidia/cosmos-reason2-8b,"[CROWD DENSITY & ZONES]
1. No pedestrians are visible, so crowd density cannot be estimated.
2. Not applicable as there are no pedestrians present.

[PEDESTRIAN ACTIVITY]
3. Zero pedestrians are visible.
4. Not applicable as there are no pedestrians present.

[RISK ASSESSMENT]
5. Not applicable as there are no pedestrians present.
6. Low risk due to absence of people.
7. Not applicable as there are no pedestrians present.

[THREAT & SAFETY]
8. No.
9. No.
10. No.

[CRITICAL INCIDENTS]
11. No.
12. No.
13. No.
14. No."
